SRC_ID,DST_ID,VALUE_SATOSHI,VALUE_USD
0,43645,10000000000,0.0
0,44413,5000000000,0.0
32724,32724,14000000,0.0
0,44310,10000000000,0.0
0,44402,5000000000,0.0
40262,43574,40000000000,0.0
44321,44406,5000000000,0.0
0,44439,5000000000,0.0
44315,44417,5000000000,0.0
44091,32724,1003000000,0.0
44329,44415,5000000000,0.0
0,43863,15000000000,0.0
0,44379,5000000000,0.0
0,44368,5000000000,0.0
0,30623,15000000000,0.0
44280,44399,5000000000,0.0
0,44353,10000000000,0.0
43824,24496,5000000000,0.0
0,28769,5000000000,0.0
44339,44440,5000000000,0.0
0,44389,5000000000,0.0
44290,44421,5000000000,0.0
44261,44350,5000000000,0.0
0,44387,5000000000,0.0
44038,24496,5000000000,0.0
0,40093,5000000000,0.0
0,44376,5000000000,0.0
44262,35662,5000000000,0.0
44306,44408,5000000000,0.0
0,44435,10000000000,0.0
0,44378,5000000000,0.0
0,43688,5000000000,0.0
0,44424,5000000000,0.0
44091,40663,521000000,0.0
0,44438,5000000000,0.0
42593,44361,4201000000,0.0
0,43166,5000000000,0.0
34361,44442,2670000000,0.0
44106,35720,20000000000,0.0
0,44344,5000000000,0.0
0,44369,5000000000,0.0
44296,44410,5000000000,0.0
44304,44429,5000000000,0.0
44305,44403,5000000000,0.0
0,35720,10000000000,0.0
0,44375,5000000000,0.0
0,44383,5000000000,0.0
0,44352,5000000000,0.0
0,44384,5000000000,0.0
0,44351,5000000000,0.0
0,44382,5000000000,0.0
0,44064,5000000000,0.0
0,44263,90000000000,0.0
0,44374,5000000000,0.0
0,44386,5000000000,0.0
44245,40450,10000000000,0.0
44313,44427,5000000000,0.0
0,44364,5000000000,0.0
0,44359,5000000000,0.0
0,42932,10000000000,0.0
44333,44433,5000000000,0.0
0,44416,5000000000,0.0
0,42387,15000000000,0.0
35662,42512,45000000000,0.0
0,44381,5000000000,0.0
0,44358,5000000000,0.0
0,44412,5000000000,0.0
0,44411,5000000000,0.0
0,44385,5000000000,0.0
0,44365,5000000000,0.0
0,44407,5000000000,0.0
34361,40663,200000000000,0.0
44288,41521,5000000000,0.0
0,44431,5000000000,0.0
0,44443,5000000000,0.0
40450,35985,40000000000,0.0
0,44441,5000000000,0.0
44341,44423,5000000000,0.0
44093,24496,5000000000,0.0
44273,40642,5000000000,0.0
0,44380,5000000000,0.0
0,42412,5000000000,0.0
0,44396,5000000000,0.0
0,44426,5000000000,0.0
44332,44434,5000000000,0.0
0,44391,5000000000,0.0
44154,42282,15000000000,0.0
0,44428,5000000000,0.0
0,44437,5000000000,0.0
0,44422,5000000000,0.0
44323,35662,5000000000,0.0
0,42114,5000000000,0.0
0,43861,5000000000,0.0
44317,44398,5000000000,0.0
0,35228,10000000000,0.0
0,41356,5000000000,0.0
0,35704,10000000000,0.0
0,44362,5000000000,0.0
44219,24496,5000000000,0.0
0,44347,5000000000,0.0
0,24496,15000000000,0.0
0,44363,5000000000,0.0
44287,44390,5000000000,0.0
0,44354,5000000000,0.0
0,44349,5000000000,0.0
44285,40642,5000000000,0.0
43601,24496,5000000000,0.0
0,44367,5000000000,0.0
0,44395,5000000000,0.0
44283,24496,5000000000,0.0
0,44377,5000000000,0.0
0,41833,10000000000,0.0
0,44388,5000000000,0.0
0,44393,5000000000,0.0
0,44405,5000000000,0.0
40642,41521,15000000000,0.0
0,44444,5000000000,0.0
0,44348,5000000000,0.0
0,44420,5000000000,0.0
0,44357,5000000000,0.0
44282,40450,5000000000,0.0
0,44370,5000000000,0.0
0,40642,10000000000,0.0
32724,40663,989000000,0.0
0,44373,5000000000,0.0
44118,35720,140000000000,0.0
0,44371,5000000000,0.0
44068,24496,5000000000,0.0
44326,44418,5000000000,0.0
0,43076,5000000000,0.0
0,44360,5000000000,0.0
0,44355,5000000000,0.0
0,43720,5000000000,0.0
44311,44414,5000000000,0.0
0,44436,5000000000,0.0
0,44409,5000000000,0.0
0,44419,5000000000,0.0
0,44372,5000000000,0.0
0,44432,5000000000,0.0
44322,44430,5000000000,0.0
44324,44404,5000000000,0.0
44272,44401,5000000000,0.0
0,44366,5000000000,0.0
0,44400,5000000000,0.0
0,44392,5000000000,0.0
0,44394,5000000000,0.0
0,35726,10000000000,0.0
0,44356,5000000000,0.0
0,44397,5000000000,0.0
44277,44425,5000000000,0.0
